Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;SMERC WIFI;A0:04:60:71:C5:C1;;9;No;WPA2,AES-CCM;No;54.0;0;1;0;0;0;0;0;;;Fri Nov 13 11:54:02 2020;Fri Nov 13 11:54:02 2020;-28;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;HP-Print-13-Officejet Pro 8610;6C:C2:17:1B:16:13;;1;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Fri Nov 13 11:54:02 2020;Fri Nov 13 11:54:02 2020;-35;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;wlan-ap;60:03:47:3A:85:BC;;6;No;OPN,None;No;54.0;0;2;0;0;0;0;0;;;Fri Nov 13 11:54:02 2020;Fri Nov 13 11:54:02 2020;-36;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;FTL;18:A6:F7:23:4D:BF;;6;No;WPA2,AES-CCM;No;54.0;0;0;0;0;0;0;0;;;Fri Nov 13 11:54:02 2020;Fri Nov 13 11:54:02 2020;-49;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;DIRECT-84-HP M426 LaserJet;6A:14:01:42:FA:84;;6;No;WPA2,AES-CCM;No;54.0;0;1;0;0;0;0;0;;;Fri Nov 13 11:54:02 2020;Fri Nov 13 11:54:02 2020;-51;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;MAE157;98:DA:C4:83:3C:C4;;2;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;1;0;0;0;0;0;;;Fri Nov 13 11:54:02 2020;Fri Nov 13 11:54:02 2020;-59;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;MAE162DE;50:D4:F7:20:0F:B5;;10;No;WPA2,AES-CCM,TKIP;No;54.0;0;1;0;0;0;0;0;;;Fri Nov 13 11:54:02 2020;Fri Nov 13 11:54:03 2020;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;UCLA_WEB;40:E3:D6:CC:F0:40;;11;No;OPN,None;No;54.0;0;0;0;0;0;0;0;;;Fri Nov 13 11:53:55 2020;Fri Nov 13 11:54:03 2020;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;CyPhyLab_24Wifi;50:C7:BF:3F:17:9E;;11;No;WPA2,AES-CCM;No;54.0;0;1;0;0;0;0;0;;;Fri Nov 13 11:54:03 2020;Fri Nov 13 11:54:03 2020;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;eduroam;40:E3:D6:CD:02:82;;6;No;WPA2,AES-CCM;No;54.0;0;1;0;0;0;0;0;;;Fri Nov 13 11:54:02 2020;Fri Nov 13 11:54:02 2020;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;;9C:1C:12:86:A0:62;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Fri Nov 13 11:54:18 2020;Fri Nov 13 11:54:18 2020;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;Ncel Wi-Fi Network;64:A5:C3:6F:B0:3E;;11;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Fri Nov 13 11:53:19 2020;Fri Nov 13 11:54:21 2020;-54;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;;00:25:00:FF:94:73;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Fri Nov 13 11:53:52 2020;Fri Nov 13 11:54:07 2020;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
