[rosmaster.main][INFO] 2021-10-06 20:06:54,842: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-10-06 20:06:54,842: Starting ROS Master Node
[xmlrpc][INFO] 2021-10-06 20:06:54,843: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-10-06 20:06:54,843: Started XML-RPC server [http://aidan:11311/]
[rosmaster.master][INFO] 2021-10-06 20:06:54,843: Master initialized: port[11311], uri[http://aidan:11311/]
[xmlrpc][INFO] 2021-10-06 20:06:54,843: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-10-06 20:06:54,950: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:54,951: +PARAM [/roslaunch/uris/host_aidan__41165] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,050: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,051: +PARAM [/slam_toolbox/trog_slam_toolbox/coarse_search_angle_offset] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,051: +PARAM [/slam_toolbox/trog_slam_toolbox/use_scan_barycenter] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,051: +PARAM [/slam_toolbox/trog_slam_toolbox/minimum_distance_penalty] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,051: +PARAM [/slam_toolbox/trog_slam_toolbox/do_loop_closing] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,051: +PARAM [/twist_mux/topics] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,051: +PARAM [/slam_toolbox/trog_slam_toolbox/debug_logging] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,052: +PARAM [/trog_joint_publisher/type] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,052: +PARAM [/slam_toolbox/trog_slam_toolbox/resolution] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,052: +PARAM [/slam_toolbox/trog_slam_toolbox/correlation_search_space_resolution] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,052: +PARAM [/velodyne_nodelet_manager_driver/frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,052: +PARAM [/slam_toolbox/trog_slam_toolbox/angle_variance_penalty] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,052: +PARAM [/trog_joint_publisher/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,052: +PARAM [/velodyne_nodelet_manager_driver/device_ip] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,052: +PARAM [/slam_toolbox/trog_slam_toolbox/transform_publish_period] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,052: +PARAM [/slam_toolbox/trog_slam_toolbox/loop_match_minimum_chain_size] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,052: +PARAM [/slam_toolbox/trog_slam_toolbox/correlation_search_space_dimension] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,052: +PARAM [/slam_toolbox/trog_slam_toolbox/minimum_angle_penalty] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,052: +PARAM [/velodyne_nodelet_manager_cloud/min_range] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,052: +PARAM [/trog_velocity_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,052: +PARAM [/slam_toolbox/trog_slam_toolbox/max_laser_range] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,052: +PARAM [/robot_localization_ekf/odom0_differential] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,052: +PARAM [/twist_mux/locks] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,052: +PARAM [/trog_velocity_controller/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,053: +PARAM [/velodyne_nodelet_manager_laserscan/ring] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,053: +PARAM [/slam_toolbox/trog_slam_toolbox/throttle_scans] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,053: +PARAM [/trog_velocity_controller/cmd_vel_timeout] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,053: +PARAM [/trog_velocity_controller/linear/x/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,053: +PARAM [/slam_toolbox/trog_slam_toolbox/distance_variance_penalty] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,053: +PARAM [/slam_toolbox/trog_slam_toolbox/coarse_angle_resolution] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,053: +PARAM [/trog_velocity_controller/angular/z/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,053: +PARAM [/slam_toolbox/trog_slam_toolbox/map_frame] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,053: +PARAM [/slam_toolbox/trog_slam_toolbox/scan_topic] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,053: +PARAM [/robot_localization_ekf/frequency] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,053: +PARAM [/slam_toolbox/trog_slam_toolbox/minimum_travel_heading] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,054: +SERVICE [/rosout/get_loggers] /rosout http://aidan:33311/
[rosmaster.master][INFO] 2021-10-06 20:06:55,054: +PARAM [/slam_toolbox/trog_slam_toolbox/minimum_travel_distance] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,054: +PARAM [/robot_localization_ekf/odom0] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,054: +PARAM [/velodyne_nodelet_manager_driver/model] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,055: +SERVICE [/rosout/set_logger_level] /rosout http://aidan:33311/
[rosmaster.master][INFO] 2021-10-06 20:06:55,055: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,055: +PARAM [/trog_velocity_controller/angular/z/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,056: +PARAM [/trog_velocity_controller/angular/z/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,056: +PARAM [/trog_velocity_controller/linear/x/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,056: +PARAM [/velodyne_nodelet_manager_driver/cut_angle] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,056: +PARAM [/trog_velocity_controller/velocity_rolling_window_size] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,057: +PARAM [/velodyne_nodelet_manager_driver/read_fast] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,057: +PARAM [/velodyne_nodelet_manager_driver/port] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,057: +PARAM [/slam_toolbox/trog_slam_toolbox/enable_interactive_mode] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,058: +PARAM [/slam_toolbox/trog_slam_toolbox/ceres_preconditioner] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,058: +PARAM [/slam_toolbox/trog_slam_toolbox/ceres_dogleg_type] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,058: +PARAM [/slam_toolbox/trog_slam_toolbox/ceres_trust_strategy] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,058: +PARAM [/velodyne_nodelet_manager_cloud/max_range] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,059: +PARAM [/slam_toolbox/trog_slam_toolbox/transform_timeout] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,060: +SUB [/clock] /rosout http://aidan:33311/
[rosmaster.master][INFO] 2021-10-06 20:06:55,060: +PARAM [/slam_toolbox/trog_slam_toolbox/base_frame] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,060: +PARAM [/slam_toolbox/trog_slam_toolbox/loop_search_space_dimension] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,060: +PARAM [/trog_velocity_controller/estimate_velocity_from_position] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,061: +PUB [/rosout_agg] /rosout http://aidan:33311/
[rosmaster.master][INFO] 2021-10-06 20:06:55,060: +PARAM [/slam_toolbox/trog_slam_toolbox/mode] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,062: +PARAM [/slam_toolbox/trog_slam_toolbox/loop_search_space_smear_deviation] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,062: +PARAM [/velodyne_nodelet_manager_driver/rpm] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,063: +PARAM [/slam_toolbox/trog_slam_toolbox/odom_frame] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,064: +PARAM [/robot_localization_ekf/sensor_timeout] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,064: +PARAM [/velodyne_nodelet_manager_driver/pcap] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,064: +PARAM [/robot_localization_ekf/odom0_config] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,065: +SUB [/rosout] /rosout http://aidan:33311/
[rosmaster.master][INFO] 2021-10-06 20:06:55,065: +PARAM [/trog_velocity_controller/wheel_separation] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,065: +PARAM [/slam_toolbox/trog_slam_toolbox/map_update_interval] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,065: +PARAM [/slam_toolbox/trog_slam_toolbox/use_response_expansion] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,065: +PARAM [/slam_toolbox/trog_slam_toolbox/ceres_linear_solver] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,066: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,066: +PARAM [/trog_velocity_controller/twist_covariance_diagonal] by /roslaunch
[rosmaster.master][INFO] 2021-10-06 20:06:55,066: +PARAM [/trog_velocity_controller/right_wheel] by /roslaunch
